"""nome_unidade""";Unidade Pai;"""tipo_logradouro""";"""logradouro""";"""numero""";"""complemento""";"""bairro""";"""cidade""";"""cep""";"""email""";"""titular""";"""telefone""";"""sei_geral""";;;
POSTO MEDICO LEGAL - ARAXA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;CIENTISTA DJALMA GUIMARAES;"""20""";-;VILA GUIMARAES;ARAXA;"""38183-138""";lgomed@hotmail.com;LEANDRO GUSTAVO DE OLIVEIRA;"""34 99902-9851""";PCMG/PML-ARAX;;;
POSTO MEDICO LEGAL - BARBACENA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;PRESIDENTE ANTONIO CARLOS;"""8""";INTERIOR DA FACULDADE DE MEDICINA DE BARACENA - FUNJOBE;SAO SEBASTIAO;BARBACENA;"""36202-336""";romulo.mello@policiacivil.mg.gov.br;ROMULO CARVALHO VAZ DE MELLO;"""32 99956-6510""";PCMG/PML-BARB;;;
POSTO MEDICO LEGAL - BETIM;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;AMAZONAS;"""4201""";-;CACHOEIRA;BETIM;"""32602-505""";pmlbetim@gmail.com;MARCELO PEREIRA DO NASCIMENTO;(31) 3257-7772;PCMG/PML-BETI;;;
POSTO MEDICO LEGAL - BOM DESPACHO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;MARTINHO CAMPOS;"""520""";INTERIOR DO CEMITERIO MUNICIPAL PARQUE DA ESPERANCA;ESPLANADA;BOM DESPACHO;"""35600-000""";ricardo.silvino@policiacivil.mg.gov.br;RICARDO AUGUSTO SILVINO;"""37 99881-1116""";PCMG/PML-BDES;;;
POSTO MEDICO LEGAL - CAMPO BELO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;PREFEITO WANDERLEY LUIZ MAIA;"""105""";INTERIOR DA UPA;VILA SAO JOAO;CAMPO BELO;"""37270-000""";harley.welbert@policiacivil.mg.gov.br;HARLEY WELBERT LASMAR;"""35 99937-9115""";PCMG/PML-CBEL;;;
POSTO MEDICO LEGAL - CAPELINHA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;JK;"""211""";INTERIOR DO HOSPITAL SAO VICENTE DE PAULO;SAO GERALDO;CAPELINHA;"""39680-000""";lincoln.rocha@policiacivil.mg.gov.br;LINCOLN RODRIGUES ROCHA;"""38 99899-7622""";PCMG/PML-CAPE;;;
POSTO MEDICO LEGAL - CARATINGA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;NITEROI;-;INTERIOR DA FACULDADE UNEC;NOSSA SENHORA DAS GRACAS;CARATINGA;"""35300-345""";nestor.nurdan@policiacivil.mg.gov.br;NESTOR NURDAN SOARES;"""33 98412-1465""";PCMG/PML-CARA;;;
POSTO MEDICO LEGAL - CONSELHEIRO LAFAIETE;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;RODRIGUES MAIA;"""455""";"""""";ANGELICA;CONSELHEIRO LAFAIETE;"""36401-011""";pml.conselheirolafaiete@policiacivil.mg.gov.br;MARIO MARCOS LUKSCHAL BARBOSA;(31) 3062-8125;PCMG/PML-CLAFA;;;
POSTO MEDICO LEGAL - CURVELO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;ANDRADINA;"""1150""";INTERIOR DO CEMITERIO PARQUE SANTA RITA;SANTA RITA;CURVELO;"""35790-000""";delandre.duarte@policiacivil.mg.gov.br;DELANDRE COELHO DUARTE;"""38 98823-4501""";PML-CURV;;;
POSTO MEDICO LEGAL - DIAMANTINA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;JOAO ANTUNES DE OLIVEIRA;"""284""";-;CAZUZA;DIAMANTINA;"""39100-000""";lincoln.costa@policiacivil.mg.gov.br;LINCOLN CESAR COSTA;"""31 98668-2466""";PCMG/PML-DIAM;;;
POSTO MEDICO LEGAL - DIVINOPOLIS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;"""2""";-;INTERIOR DO CEMITERIO PARQUE DIVINO ESPIRITO SANTO;JUZA FONSECA;DIVINOPOLIS;"""35500-519""";legista.divinopolis@hotmail.com;RODOLFO ELIAS MARTINS RIBEIRO;"""37 99826-6733""";PCMG/PML-DIVI;;;
POSTO MEDICO LEGAL - FORMIGA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;SILVIO ROCHA;"""1200""";INTERIOR DO CEMITERIO PARQUE DA SAUDADE;CIDADE NOVA;FORMIGA;"""35570000""";marcelo.moura@policiacivil.mg.gov.br;MARCELO DE MOURA;"""37 98828-1568""";PCMG/PML-FORM;;;
POSTO MEDICO LEGAL - FRUTAL;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;OLAVO RIBEIRO CORTES;"""102""";-;JARDIM DAS LARANJEIRAS;FRUTAL;"""38204-144""";imlfrutalmg@hotmail.com;FREDERICO MOREIRA CARDOSO AYRES;(34) 3423-3013;PCMG/PML-FRUT;;;
POSTO MEDICO LEGAL - GOVERNADOR VALADARES;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;ALTAMIRANDO COLOMBO RIBEIRO;"""143""";-;NOVA FLORESTA;GOVERNADOR VALADARES;"""35022-618""";nao_consta@email.cadastrado;WILDER TEIXEIRA DOS SANTOS JUNIOR;(33) 3271-2470;PCMG/PML-GVR;;;
POSTO MEDICO LEGAL - GUANHAES;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;PIO FERREIRA;"""54""";-;CENTRO;GUANHAES;"""39740-000""";silviotiboo@gmail.com;SILVIO TIBO CARDOSO FILHO;"""38 99110-3595""";PCMG/PML-GUAN;;;
POSTO MEDICO LEGAL - GUAXUPE;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;MARIA GABRIELA MONTEIRO MELO;"""1000""";INTERIOR DO CEMITERIO MUNICIPAL PARQUE ALTO DA COLINA;-;GUAXUPE;"""37836-800""";renata.tiemi@policiacivil.mg.gov.br;RENATA TIEMI MOREIRA DE RESENDE;"""31 99970-2401""";PCMG/PML-GUAX;;;
POSTO MEDICO LEGAL - IPATINGA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;LONDRINA;"""7""";-;DISTRITO INDUSTRIAL;IPATINGA;"""35164-291""";americo.morais@policiacivil.mg.gov.br;AMERICO SEBASTIAN VARELA PEREIRA DE MORAIS;"""31 98479-1617""";PCMG/PML-IPAT;;;
POSTO MEDICO LEGAL - ITABIRA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;AIRTON GONCALVES;"""156""";INTERIOR DO CEMITERIO DA PAZ;"""12 DE MARCO""";ITABIRA;"""35900-350""";christiano.drumond@policiacivil.mg.org.br;CHRISTIANO DE ALMEIDA DRUMOND;"""31 99733-1623""";PCMG/PML-ITAB;;;
POSTO MEDICO LEGAL - ITAJUBA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;MIGUEL VIANA;"""420""";HOSPITAL DE CLINICAS DE ITAJUBA;MORRO CHIC;ITAJUBA;"""37500-080""";fernando.esberard@policiacivil.mg.gov.br;FERNANDO ALVES ESBERARD LEITE;"""21 98234-0498""";PCMG/PML-ITAJ;;;
POSTO MEDICO LEGAL - ITUIUTABA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;BARU;"""252""";-;ALVORADA;ITUIUTABA;"""38307-086""";caio.cabral.pcmg@gmail.com;CAIO CABRAL DE ARAUJO MARTINS;"""34 99691-7918""";PCMG/PML-ITUI;;;
POSTO MEDICO LEGAL - ITURAMA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;AIRTON SENA;"""1384""";"""""";-;ITURAMA;"""38280-000""";savio.augusto@policiacivil.mg.gov.br;SAVIO AUGUSTO SILVA DE SOUZA;"""31 99944-3379""";PCMG/PML-ITUR;;;
POSTO MEDICO LEGAL - JANAUBA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;ANTONIO LUIZ FRANCA;"""412""";(PERICIAS NO VIVO) - PERICIAS NO MORTO OCORRE NO INTERIOR DAS FUNERARIAS;VEREDAS;JANAUBA;"""39440-000""";dayvson.antonio@policiacivil.mg.gov.br;DAYVSON ANTONIO AMILTON DUARTE DE ABREU;"""38 99812-9600""";PCMG/PML-JANA;;;
POSTO MEDICO LEGAL - JANUARIA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;MAESTRO MANOEL LEITE;"""50""";-;CERAMICA;JANUARIA;"""39480-000""";thalles.freire@policiacivil.mg.gov.br;THALLES CANTUARIA FREIRE;"""38 99725-4326""";PCMG/PML-JANU;;;
POSTO MEDICO LEGAL - JOAO MONLEVADE;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;BRASILIA;"""1290""";-;BAU;JOAO MONLEVADE;"""35930-314""";guilherme.schmitt@policiacivil.mg.gov.br;GUILHERME SCHMITT MARTINS;"""31 99199-9401""";PCMG/PML-JMON;;;
POSTO MEDICO LEGAL - JUIZ DE FORA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;PROFESSORA CAROLINA COELHO;"""56""";"""""";GRANBERY;JUIZ DE FORA;"""36010-470""";glower.braga@policiacivil.mg.gov.br;GLOWER BRAGA;"""32 98846-7142""";PCMG/PML-JFOR;;;
POSTO MEDICO LEGAL - LAVRAS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;MARTE;"""45""";-;CONJ. HAB. AGUA LIMPA;LAVRAS;"""37207-804""";antonio.olintho@policiacivil.mg.gov.br;ANTONIO OLINTHO FOSSA JUNIOR;"""31 99164-9894""";PCMG/PML-LAVR;;;
POSTO MEDICO LEGAL - LEOPOLDINA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;PADRE JULIO;"""138""";-;CATEDRAL;LEOPOLDINA;"""36700-000""";manfrinni.vinicius@policiacivil.mg.gov.br;MANFRINNI VINICIUS ALVES SILVA;"""31""";PCMG/PML-LEOP;;;
POSTO MEDICO LEGAL - MANHUACU;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;PRACA DR CESAR LEITE;"""383""";-;CENTRO;MANHUACU;"""36900-000""";wslugao@gmail.com;WANDERSON DE SOUZA LUGAO;"""27 99943-2899""";PCMG/PML-MANH;;;
POSTO MEDICO LEGAL - MONTES CLAROS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;DR. WALTER FERREIRA BARRETO;"""2""";-;IBITURUNA;MONTES CLAROS;"""39408-001""";imlmontesclaros@gmail.com;ALINE BRITO DE OLIVEIRA;(38) 3212-8762;PCMG/PML-MOC;;;
POSTO MEDICO LEGAL - MURIAE;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;PRACA DA PAZ CELESTIAL;"""00""";S/N;CENTRO;MURIAE;"""36880-000""";pedrorabelofilho@gmail.com;PEDRO RABELO DE MESQUITA FILHO;"""32 98854-3973""";PCMG/PML-MUR;;;
POSTO MEDICO LEGAL - NANUQUE;DIVISAO DE MEDICINA LEGAL DO INTERIOR;"""""";PRACA TEOFILO OTINI;"""20""";-;CENTRO;NANUQUE;"""39860-000""";pmlnanuque@policiacivil.mg.gov.br;JOMAR REZENDE CARVALHO;(33) 3621-9600;PCMG/PML-NAN;;;
POSTO MEDICO LEGAL - NOVA LIMA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;AUGUSTO MAGALHAES;"""45""";INTERIOR DA POLICLINICA MUNICIPAL DR SEBASTIAO FABIANO DIAS;CENTRO;NOVA LIMA;"""34000-115""";rodrigo.abdo@policiacivil.mg.gov.br;RODRIGO PIRES BERNIS ABDO;"""31 98832-2044""";PML-NLIM;;;
POSTO MEDICO LEGAL - NOVA SERRANA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;FAUSTO PINTO FONSECA;-;INTERIOR DO CEMITERIO DA PAZ;DOM BOSCO;NOVA SERRANA;"""35523-142""";radioflavia@hotmail.com;FLAVIA GONTIJO AMARAL;"""37 99822-1515""";PML-NSER;;;
POSTO MEDICO LEGAL - OURO PRETO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;QUEIROZ JR;-;CEMITERIO PARQUE DA ESPERANCA;ANTIGA BR356;OURO PRETO;"""35450-000""";Isabel.facury@policiacivil.mg.gov.br;ISABEL CRISTINA TAVARES FACURY;"""31 99680-7279""";PML-OP;;;
POSTO MEDICO LEGAL - PARA DE MINAS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;APRIGIO GUIMARAES PENA;"""501""";-;SAO JOSE;PARA DE MINAS;"""35660-575""";iara.garcia@policiacivil.mg.gov.br;IARA LEMOS GARCIA;"""31 98756-8930""";PML-PMIN;;;
POSTO MEDICO LEGAL - PARACATU;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;PADRE MANOEL;"""160""";INTERIOR DO HOSPITAL MUNICIPAL DE PARACATU;AMOEIRAS I;PARACATU;"""38600-000""";rui.brasil@policiacivil.mg.gov.br;RUI LAFAIETE BRASIL JUNIOR;"""38 99972-0783""";PML-PCTU;;;
POSTO MEDICO LEGAL - PASSOS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;PERIMETRAL;"""8000""";"""""";ZONA RURAL;PASSOS;"""37903-345""";guilherme.ferreira@policiacivil.mg.gov.br;GUILHERME FERREIRA PENA;"""35 98708-0042""";PML-PAS;;;
POSTO MEDICO LEGAL - PATOS DE MINAS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;HILDEBRANDO JOSE DE SOUZA;"""27""";-;BELA VISTA;PATOS DE MINAS;"""38703-248""";pml.patosdeminas@policiacivil.mg.gov.br;ARNALDO RODRIGUES GUIMARAES;(34) 3814-6692;PCMG/PML-PAT;;;
POSTO MEDICO LEGAL - PATROCINIO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;DR HONORIO DE ABREU;"""1295""";INTERIOR DO CEMITERIO MUNICIPAL;MARCIANO BRANDAO;PATROCINIO;"""38740-474""";renato.miranda@policiacivil.mg.gov.br;RENATO DE MIRANDA MARQUES;"""31 98360-3028""";PML-PTC;;;
POSTO MEDICO LEGAL - PEDRA AZUL;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;DO CEMITERIO;"""845""";INTERIOR DO CEMITERIO MUNICIPAL;BELA VISTA;PEDRA AZUL;"""39970-000""";nao_consta@email.cadastrado;GABRIELA MACIEL CAMPOLINA CARDOSO;"""31 99764-9447""";PCMG/PML-PED;;;
POSTO MEDICO LEGAL - PIRAPORA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;MONTES CLAROS;"""203""";INTERIOR DA FUNDACAO HOSPITALAR DR MOISES MAGALHAES FEIRE;CINQUENTENARIO;PIRAPORA;"""39270-000""";leonardo.vasconcelos@policiacivil.mg.gov.br;LEONARDO DE VASCONCELOS DIAS;"""38 98812-6608""";PML-PIR;;;
POSTO MEDICO LEGAL - POCOS DE CALDAS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;DA SAUDADE;"""500""";-;CAMPO DA MOGIANA;POCOS DE CALDAS;"""37701-331""";anderson.bretas@policiacivil.mg.gov.br;ANDERSON BRETAS QUINTAO;"""35 98865-0209""";PML-PCAL;;;
POSTO MEDICO LEGAL - PONTE NOVA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;DR LEONARDO;"""200""";INTERIOR DO HOSPITAL NOSSA SENHORA DAS DORES;CENTRO;PONTE NOVA;"""35430-004""";luiz.monte@policiacivil.mg.gov.br;LUIZ FERNANDO RIBEIRO MONTE;"""31 98840-7277""";PML-PONT;;;
POSTO MEDICO LEGAL - POUSO ALEGRE;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;PREF SAPUCAI;"""108""";-;CENTRO;POUSO ALEGRE;"""37550-000""";gustavo.gualberto@policiacivil.mg.gov.br;GUSTAVO VIEIRA GUALBERTO;"""31 99102-6857""";PML-POUS;;;
POSTO MEDICO LEGAL - RIBEIRAO DAS NEVES;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;ARTUR JOSE ALVES;"""10""";PERICIAS NO VIVO APENAS;SAVASSI;RIBEIRAO DAS NEVES;"""33880-440""";jordanicamposmachado@gmail.com;JORDANI CAMPOS MACHADO;"""31 99982-1319""";PML-NEVES;;;
POSTO MEDICO LEGAL - SABARA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;FRANCISCO ASSIS PEREIRA;"""191""";PERICIAS NO VIVO APENAS - INTERIOR DA CLINICA MEDICA CEMAE;CENTRO;SABARA;"""34505-500""";daniela.paim@policiacivil.mg.gov.br;DANIELA PAIM CARVALHO GARCIA;"""31 99309-6008""";PML-SAB;;;
POSTO MEDICO LEGAL - SANTA LUZIA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;BALDIM;"""00""";INTERIOR DA DELEGACIA REGIONAL DE POLICIA CIVIL;RIO DAS VELHAS;SANTA LUZIA;"""33030-340""";jglanza12@gmail.com;JOSE GERALDO LANZA AVELAR;"""31 98761-1409""";PML-SLUZ;;;
POSTO MEDICO LEGAL - SAO JOAO DEL REI;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;BRASIL;"""150""";-;FABRICAS;SAO JOAO DEL REI;"""36301-249""";sergio.veloso@policiacivil.mg.gov.br;SERGIO GERALDO VELOSO;"""32 98860-3129""";PML-SJDR;;;
POSTO MEDICO LEGAL - SAO LOURENCO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;HERACLITO ANTONIO MOREIRA;"""00""";INTERIOR DO CEMITERIO SAO LOURENCO;CENTRO;SAO LOURENCO;"""37470-000""";flavio.r.fraga@gmail.com;FLAVIO RESENDE FRAGA;"""35 98852-7750""";PML-SLOU;;;
POSTO MEDICO LEGAL - SAO SEBASTIAO DO PARAISO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;DELMIRA ANDRADE FIGUEREDO WESTIN;"""169""";INTERIOR DO CEMITERIO MUNICIPAL;JARDIM BERNADETE;SAO SEBASTIAO DO PARAISO;"""37950-384""";mariana.quintao@policiacivil.mg.gov.br;MARIANA MOURA QUINTAO SILVA;"""31 98838-6674""";PML-SSPA;;;
POSTO MEDICO LEGAL - SETE LAGOAS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;RUBENS RODRIGUES DOS SANTOS;"""620""";INTERIOR DO CEMITERIO MUNICIPAL SANTA HELENA;JARDIM ARIZONA;SETE LAGOAS;"""35700-360""";linesfperigolo@hotmail.com;LINES FERREIRA PERIGOLO;"""31 99143-9343""";PML-SETE;;;
POSTO MEDICO LEGAL - TAIOBEIRAS;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;BARCELONA;"""420""";POSTO DE PERICIA INTEGRADO;BOM JARDIM;TAIOBEIRAS;"""39550-000""";thiago.nobre@policiacivil.mg.gov.br;THIAGO NOBRE RODRIGUES;"""38 99139-0893""";PML-TAIO;;;
POSTO MEDICO LEGAL - TEOFILO OTONI;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;FREI SERAFIM;"""405""";INTERIOR DO CEMITERIO MUNICIPAL DE TEOFILO OTONI;DR. LAERTE LAENDER;TEOFILO OTONI;"""39803-158""";gustavo.merian@policiacivil.mg.gov.br;GUSTAVO FRANCO MERIAN;"""33 98804-8804""";PML-TEOF;;;
POSTO MEDICO LEGAL - TRES CORACOES;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;CEL FRANCISCO ANTONIO PEREIRA;"""692""";INTERIOR DO CEMITERIO MUNICIPAL SAO JOAO BATISTA;VILA GESSE;TRES CORACOES;"""37410-000""";sergio.vilasboas@policiacivil.mg.gov.br;SERGIO RODRIGO VILAS BOAS;"""35 99217-4446""";PML-TCOR;;;
POSTO MEDICO LEGAL - UBA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;ANTONIO MARTINS FILHO;"""500""";-;SANTO ANTONIO;UBA;"""36501-068""";fernando.esberard@policiacivil.mg.gov.br;FERNANDO ALVES ESBERARD LEITE;"""21 98234-0498""";PML-UBA;;;
POSTO MEDICO LEGAL - UBERABA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;LUIS PROSPERO;"""300""";POSTO DE PERICIAS INTEGRADAS - UBERABA;PARQUE DAS AMERICAS;UBERABA;"""38045-310""";imluberaba5dpc1drpc@hotmail.com;DR HANDER FERREIRA SOUSA;(34) 3336-0210;PML-UBE Posto Médico Legal de Uberaba;;;
POSTO MEDICO LEGAL - UBERLANDIA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;AMAZONAS;"""1996""";INTERIOR DA UIVERSIDADE FEDERAL DE UBERLANDIA;UMUARAMA;UBERLANDIA;"""38045-310""";takeshi.ono@policiacivil.mg.gov.br;TAKESHI ONO SOBRINHO;"""34 99976-6564""";PML-UDI;;;
POSTO MEDICO LEGAL - UNAI;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;VIRGINIA JUSTINIANO RIBEIRO;"""1585""";INTERIOR DO HOSPITAL MUNICIPAL DOUTOR JOAQUIM BROCHADO;BARROCA;UNAI;"""38610-000""";helenoaugusto2015@gmail.com;HELENO AUGUSTO ALVES FEITOSA;"""61 98605-8844""";PML-UNA;;;
POSTO MEDICO LEGAL - VARGINHA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Avenida;RUI BARBOSA;"""158""";INTERIOR DO HOSPITAL REGIONAL DO SUL DE MINAS;CENTRO;VARGINHA;"""37002-140""";pml.varginha@policiacivil.mg.gov.br;ALEXANDRE ASSAD DE MORAIS;"""35 98856-5255""";PML-VAR;;;
POSTO MEDICO LEGAL - VESPASIANO;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;JOAQUIM JOSE DA SILVA NETO;-;INTERIOR DA DELEGACIA REGIONAL DE POLICIA CIVIL;JARDIM ITAU;VESPASIANO;"""33200-000""";renatofccosta@yahoo.com.br;RENATO FREITAS CARVALHO COSTA;"""31 99158-9628""";PML-VES;;;
POSTO MEDICO LEGAL - VICOSA;DIVISAO DE MEDICINA LEGAL DO INTERIOR;Rua;NOSSA SENHORA DAS GRACAS;"""53""";-;BOM JESUS;VICOSA;"""36570-000""";alcamorim@yahoo.com.br;ALOISIANA LIMA CUNHA AMORIM;"""31 98759-5914""";PML-VIC;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - ALFENAS;DIVISAO DE PERICIAS DO INTERIOR;Rua;DOM SILVERIO;"""338""";-;APARECIDA;ALFENAS;"""37135-048""";strc.18deppc.alfenas@policiacivil.mg.gov.br;MARCELO AUGUSTO ROMANELLI SALES;(35) 3698-1900;PCMG/STRC-ALFE;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - ALMENARA;DIVISAO DE PERICIAS DO INTERIOR;Rua;LIVIO FROES OTONI;"""96""";DELEGACIA REGIONAL DE ALMENARA;CENTRO;ALMENARA;"""39900-000""";strc.almenara@pcivil.mg.gov.br;ALOISIO DE JESUS SANTANA;(33) 3721-8500;PCMG/STRC-ALME;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - ARAGUARI;DIVISAO DE PERICIAS DO INTERIOR;Rua;-;-;"-*ARAGUARI*-*-*-*""1""";;;;;;;;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - ARAXA;DIVISAO DE PERICIAS DO INTERIOR;Rua;-;-;"-*ARAXA*-*-*-*""1""";;;;;;;;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - BARBACENA;DIVISAO DE PERICIAS DO INTERIOR;Rua;RUA VITORIO MENEGHIN;"""210""";"""""";PONTILHAO;BARBACENA;"""36202-346""";coord.strc.13deppc@gmail.com;ERIC JOSE CARDOSO RODRIGUES;(32) 3339-3040;PCMG/STRC - BARB/CHEFIA;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - BETIM;DIVISAO DE PERICIAS DO INTERIOR;Avenida;AMAZONAS;"""4201""";"""2 ANDAR""";CACHOEIRA;BETIM;"""32602-505""";strc.betim@pcivil.mg.gov.br;-ADRIANE DE JESUS MARINHO;(31) 3257-7770;PCMG/STRC-BETI;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - BOM DESPACHO;DIVISAO DE PERICIAS DO INTERIOR;Avenida;MARIA CAMPOS GUERRA;"""50""";"""""";JARDIM AMERICA;BOM DESPACHO;"""35600-000""";enzio.junior@policiacivil.mg.gov.br;ENZIO SEVERINO JUNIOR;(37) 9995-4742;strc-bdes;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - CAMPO BELO;DIVISAO DE PERICIAS DO INTERIOR;Rua;JUCA ESCRIVAO;"""280""";"""""";VILA ETNA;CAMPO BELO;"""37270-000""";periciacb@gmail.com;TATIANA LEDES BITTENCOURT;(31) 9807-4767;PCMG/STRC-CBEL;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - CAPELINHA;DIVISAO DE PERICIAS DO INTERIOR;Rua;AUGUSTO BARBOSA;"""52""";STRC-CAPELINHA;CIDADE NOVA;CAPELINHA;"""39683-078""";periciacapelinha@gmail.com;JOSE LUIZ GONZAGA NETO;(33) 3516-2068;PCMG/STRC-CAPE;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - CARATINGA;DIVISAO DE PERICIAS DO INTERIOR;Avenida;JOAO CAETANO DO NASCIMENTO;"""717""";"""""";- LIMOEIRO;CARATINGA;"""35300-104""";strc.12deppc.caratinga@policiacivil.mg.gov.br;FERNANDA AMORIM MELGACO GUIMARAES;(33) 3322-6545;PCMG/STRC-CARA;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - CONSELHEIRO LAFAIETE;DIVISAO DE PERICIAS DO INTERIOR;Rua;SENADOR MILTON CAMPOS;"""699""";A;ANGELICA;CONSELHEIRO LAFAIETE;"""36401-038""";strc.conselheirolafaiete@pcivil.mg.gov.br;ARAKEN RESENDE COSTA;(31) 3769-2226;PCMG/STRC-CLAFA;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - CONTAGEM;DIVISAO DE PERICIAS DO INTERIOR;Rua;-DR JOSE AMERICO CANSADO BAHIA;"""1550""";"""""";-CID INDUSTRIAL;CONTAGEM;-;strc.2deppc.contagem@policiacivil.mg.gov.br;-SERGIO STARLING DE BARROS;(31) 3204-1648;PCMG/STRC-CONT;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - CURVELO;DIVISAO DE PERICIAS DO INTERIOR;Avenida;DOM PEDRO II;"""00""";"""""";CENTRO;CURVELO;"""35790-000""";strc.cvo@gmail.com;JOAO LUCIO DA SILVA;"""00""";PCMG/STRC-CURV;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - DIAMANTINA;DIVISAO DE PERICIAS DO INTERIOR;Avenida;-;-;"-*DIAMANTINA*-*-*-*""1""";;;;;;;;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - DIVINOPOLIS;DIVISAO DE PERICIAS DO INTERIOR;Rua;BANANAL;"""549""";"""""";VILA BELO HORIZINTE;DIVINOPOLIS;"""35500-036""";strc.divinopolis@pcivil.mg.gov.br;FELIPE BARBOSA ANGHINETTI;"""0""";PCMG/STRC-DIVI;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - FORMIGA;DIVISAO DE PERICIAS DO INTERIOR;Avenida;-;-;"-*FORMIGA*-*-*-*""1""";;;;;;;;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - FRUTAL;DIVISAO DE PERICIAS DO INTERIOR;Avenida;-;-;"-*FRUTAL*-*-*-*""1""";;;;;;;;;;
SECAO TECNICA REGIONAL DE CRIMINALISTICA - GOVERNADOR VALADARES;DIVISAO DE PERICIAS DO INTERIOR;Avenida;-;-;"-*GOVERNADOR VALADARES*-*-*-*""1""";;;;;;;;;;
